id	title	publishedAt	thumbnailUrl	categoryId	defaultAudioLanguage	tags	viewCount	likeCount	dislikeCount	commentCount	uploadStatus	privacyStatus	license	embeddable	publicStatsViewable	madeForKids	topicCategories	duration	dimension	definition	caption	licensedContent	contentRating	projection
QmOe4Sac3so	Nain Bengali (Lyrical) | Guru Randhawa | David Zennie | Vee | Bhushan Kumar	2021-08-19T06:30:04Z	https://i.ytimg.com/vi/QmOe4Sac3so/default.jpg	10	hi	['nain bengali guru song', 'nain bengali song', '2021 hindi songs', '2021 new songs', 't-series', '2021 songs', 'hindi 2021 songs', 'hindi movie songs', 'Nain bengali', 'Guru randhawa', 'Nain bengali song', 'Nain bengali video', 'Nain bengali film song', 'Nain bengali tseries', 'Nain bengali lyrics', 'Nain bengali lyrical', 'Nain bengali hindi song', 'Nain bengali new song', 'Nain bengali audio', 'Guru randhawa song', 'Guru randhawa video', 'Guru randhawa new song', 'Guru randhawa hit songs 2021']	1375864	64921	3742	3237	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M42S	2d	hd	false	True	{}	rectangular
2zUg7UOyRMw	DESH MERE (Lyrical) | Bhuj: The Pride Of India| Ajay D, Sanjay D | Arijit Singh | Arko, Manoj M	2021-08-18T11:36:00Z	https://i.ytimg.com/vi/2zUg7UOyRMw/default.jpg	10	hi	['arijit singh songs', 'arijit singh new song', 'desh mere arijit singh', 'bhuj movie', 'bhuj movie songs', 'ajay devgan songs', 'hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	618376	30994	867	2759	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M43S	2d	hd	false	True	{}	rectangular
K7yyOFL1y4M	Bewafa Tera Muskurana (Lyrical)| Meet Bros | Jubin Nautiyal |Himansh K,Akanksha P|Rashmi V|Bhushan K	2021-08-18T09:46:38Z	https://i.ytimg.com/vi/K7yyOFL1y4M/default.jpg	10	hi	['bewafa teraa muskurana', 'bewafa tera jubin song', 'jubin nautiyal songs new', 'jubin nautiyal latest song 2021', 'hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs', 'meet bros new song', 'rashmi virag songs']	2057789	52185	1933	1506	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT5M8S	2d	hd	false	True	{}	rectangular
QJ7iYTgWj3E	Main Teri Mohabbat Mein /Jaane Jigar ★ Ep8| Payal D, Benny D|T-Series Mixtape S3 |Ahmed K |Bhushan K	2021-08-18T05:30:31Z	https://i.ytimg.com/vi/QJ7iYTgWj3E/default.jpg	10	hi	['t series mixtape season 3', 'T series mixtape rewind', 't series mixtape season 3 all songs', 't series mixtape season 3 jukebox', 't series mixtape season 3 release date', 'Amazon prime music', 't series', 't series mixtape season 3 sachet parampara', 't series mixtape season 3 darshan rawal', 'amazon mixtape', 'mixtape Amazon prime music', 'guru randhawa song', 'dhvani bhanushali new song']	2511390	51235	3276	2512	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT5M37S	2d	hd	false	True	{}	rectangular
9vmdDLH-uao	Husn Wale Farebi (Lyrical) | SAAT UCHAKKEY | Manoj Bajpayee, Anupam Kher, Kay Kay Menon	2021-08-17T12:00:03Z	https://i.ytimg.com/vi/9vmdDLH-uao/default.jpg	10	hi	['Husn Wale Farebi', 'Husn Wale Farebi song', 'Husn Wale Farebi saat uchakkey ssong', 'Husn Wale Farebi audio song', 'Saat Uchakkey Full Songs', 'Saat Uchakkey Songs', 'Saat Uchakkey trailer', 'Saat Uchakkey movie songs', 'Songs', 'hindi songs', 'latest bollywood songs', 'bollywood new songs', 'bollywood movie songs', 'hindi bollywood songs', 'new songs', 'new songs 2016', 'latest song 2016', 'indian songs', 'Manoj Bajpayee', 'Anupam Kher', 'Kay Kay Menon', 'Annu Kapoor', 'Vijay Raaz', 'Aditi Sharma', 'Kailash Kher']	64782	1397	259	314	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT4M35S	2d	hd	false	True	{}	rectangular
HQ01Tk-Swg4	Is Qadar (Audio) | Tulsi Kumar, Darshan Raval | Sachet-Parampara | Sayeed Quadri | Arvindr K	2021-08-17T11:02:49Z	https://i.ytimg.com/vi/HQ01Tk-Swg4/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs', 'is qadar', 'tulsi kumar', 'darshan raval', 'is kadar darshan raval', 'darshan raval new song', 'tulsi kumar song', 'tulsi kumar new songs', 'tulsi kumar 2021 new song', 'is qadar tulsi kumar', 'is qadar tulsi kumar new song', 'tulsi kumar and darshan raval new song']	245439	5302	236	395	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M47S	2d	hd	false	True	{}	rectangular
hM53MWcAnpA	Wafa Na Raas Aayee (Lyrical) | Jubin Nautiyal | Ft.Himansh K, Arushi N, Meet Bros | Rashmi V	2021-08-17T07:30:27Z	https://i.ytimg.com/vi/hM53MWcAnpA/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'hit songs 2021', '2021 songs', 'hindi 2021 songs', 'hindi movie songs', 'Wafa Na Raas Aayee song', 'Wafa Na Raas Aayee video', 'Wafa Na Raas Aayee tseries', 'Wafa Na Raas Aayee hindi song', 'Wafa Na Raas Aayee new song', 'Wafa Na Raas Aayee full video', 'Jubin Nautiyal song', 'Jubin Nautiyal video', 'Jubin Nautiyal hindi song', 'Jubin Nautiyal new song', 'Jubin Nautiyal full video', 'love song', 'sad song']	2044041	52236	1777	2413	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT5M8S	2d	hd	false	True	{}	rectangular
LzEP-MJCuIc	Bhuj Theme (Audio) Bhuj: The Pride Of India | Ajay D, Sanjay D |  Shikha J,  Amar M,  Anil V	2021-08-17T05:53:07Z	https://i.ytimg.com/vi/LzEP-MJCuIc/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	109824	3556	147	460	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M58S	2d	hd	false	True	{}	rectangular
JIAn12MFkcY	Ishq Mera (AUDIO) | Bhuj: The Pride Of India | Ajay D, Sanjay D | Pratibha S, Vipin P, Kavira A	2021-08-16T15:37:24Z	https://i.ytimg.com/vi/JIAn12MFkcY/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	186463	3773	289	358	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT2M1S	2d	hd	false	True	{}	rectangular
M5dmo3VBiAU	Bhuj: The Pride Of India - Full Album | Ajay D. Sonakshi S. Sanjay D. Ammy V. Nora F | Audio Jukebox	2021-08-16T14:32:16Z	https://i.ytimg.com/vi/M5dmo3VBiAU/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	323109	12059	646	1205	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT26M46S	2d	hd	false	True	{}	rectangular
